rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.92,0.2,93.83
2,2,Barcelona,Spanish Primera Division,3.14,0.43,91.93
3,3,Bayern Munich,German Bundesliga,3.18,0.51,91.13
4,4,Liverpool,Barclays Premier League,2.66,0.36,89.56
5,5,Real Madrid,Spanish Primera Division,2.48,0.41,87.1
6,8,Paris Saint-Germain,French Ligue 1,2.66,0.53,86.63
7,6,Atletico Madrid,Spanish Primera Division,2.19,0.32,86.0
8,7,Chelsea,Barclays Premier League,2.33,0.41,85.58
9,12,Atalanta,Italy Serie A,2.53,0.56,84.69
10,9,Manchester United,Barclays Premier League,2.43,0.54,84.2
11,10,Borussia Dortmund,German Bundesliga,2.58,0.62,84.17
12,13,Juventus,Italy Serie A,2.51,0.6,83.9
13,11,RB Leipzig,German Bundesliga,2.38,0.55,83.26
14,14,Internazionale,Italy Serie A,2.47,0.62,82.98
15,20,Sevilla FC,Spanish Primera Division,2.18,0.49,81.96
16,17,Villarreal,Spanish Primera Division,2.1,0.46,81.81
17,18,Arsenal,Barclays Premier League,2.19,0.51,81.76
18,16,Real Sociedad,Spanish Primera Division,2.15,0.5,81.46
19,22,Leicester City,Barclays Premier League,2.14,0.51,81.17
20,19,Bayer Leverkusen,German Bundesliga,2.17,0.55,80.59
21,15,Tottenham Hotspur,Barclays Premier League,2.24,0.61,80.18
22,21,Napoli,Italy Serie A,2.27,0.67,79.47
23,23,Ajax,Dutch Eredivisie,2.66,0.92,79.34
24,27,Lyon,French Ligue 1,2.2,0.65,78.9
25,24,FC Salzburg,Austrian T-Mobile Bundesliga,2.82,1.07,78.63
26,25,Aston Villa,Barclays Premier League,2.21,0.68,78.21
27,29,Borussia Monchengladbach,German Bundesliga,2.34,0.83,77.02
28,32,Eintracht Frankfurt,German Bundesliga,2.28,0.8,76.73
29,31,VfL Wolfsburg,German Bundesliga,2.07,0.67,76.58
30,26,AS Roma,Italy Serie A,2.27,0.8,76.52
31,28,AC Milan,Italy Serie A,2.22,0.79,76.18
32,30,West Ham United,Barclays Premier League,2.05,0.68,76.06
33,33,FC Porto,Portuguese Liga,2.13,0.75,75.65
34,35,Lille,French Ligue 1,1.79,0.54,75.05
35,34,Everton,Barclays Premier League,1.96,0.67,74.74
36,39,Brighton and Hove Albion,Barclays Premier League,1.93,0.65,74.69
37,37,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
38,40,AS Monaco,French Ligue 1,2.16,0.83,74.16
39,41,Lazio,Italy Serie A,2.11,0.83,73.56
40,36,Benfica,Portuguese Liga,2.15,0.87,73.14
41,38,Southampton,Barclays Premier League,1.86,0.67,73.1
42,47,Athletic Bilbao,Spanish Primera Division,1.84,0.66,73.06
43,42,Celta Vigo,Spanish Primera Division,1.93,0.74,72.54
44,46,Wolverhampton,Barclays Premier League,1.82,0.66,72.44
45,44,Real Betis,Spanish Primera Division,1.97,0.8,71.82
46,49,Flamengo,Brasileiro Série A,2.13,0.92,71.78
47,45,Shakhtar Donetsk,UEFA Europa League,2.23,1.0,71.75
48,48,Olympiacos,Greek Super League,1.91,0.78,71.43
49,51,Eibar,Spanish Primera Division,1.7,0.63,71.18
50,53,VfB Stuttgart,German Bundesliga,2.13,0.96,70.81
51,50,Club Brugge,Belgian Jupiler League,1.94,0.84,70.37
52,43,Getafe,Spanish Primera Division,1.65,0.62,70.34
53,52,1. FC Union Berlin,German Bundesliga,1.84,0.77,70.26
54,54,TSG Hoffenheim,German Bundesliga,2.12,0.99,70.0
55,57,Rangers,Scottish Premiership,1.92,0.86,69.63
56,55,SC Freiburg,German Bundesliga,2.04,0.97,69.04
57,56,Young Boys,Swiss Raiffeisen Super League,1.96,0.95,68.23
58,64,Sporting CP,Portuguese Liga,1.69,0.74,68.15
59,63,Osasuna,Spanish Primera Division,1.72,0.78,67.77
60,58,Levante,Spanish Primera Division,1.94,0.96,67.55
61,60,Leeds United,Barclays Premier League,2.05,1.05,67.46
62,62,Burnley,Barclays Premier League,1.66,0.75,67.17
63,61,Stade Rennes,French Ligue 1,1.62,0.73,67.12
64,59,Hertha Berlin,German Bundesliga,1.82,0.9,66.72
65,66,Dinamo Zagreb,UEFA Europa League,1.98,1.04,66.47
66,67,Fiorentina,Italy Serie A,1.74,0.85,66.39
67,68,FC Krasnodar,Russian Premier Liga,1.86,0.95,66.14
68,69,PSV,Dutch Eredivisie,2.05,1.13,65.75
69,65,Crystal Palace,Barclays Premier League,1.74,0.87,65.74
70,72,River Plate,Argentina Primera Division,1.74,0.88,65.48
